Title,Created_date,Author,Url,Category
"Pengalaman, Kesehatan Mental dan Hewan Peliharaan",12-12-2019,Tiara Afwani,https://medium.com/@tiaraafwani/kesehatan-mental-1be1e8dd08ca,Kesehatan Mental
Mengurangi Instagram Demi Kesehatan Mentalku,10-31-2017,Annisa Widi Astuty,https://medium.com/@annisawidiastuty/mengurangi-instagram-demi-kesehatan-mentalku-7c5a7e9459b,Kesehatan Mental
Kami ODGJ/ODMK. Apa Kami Tidak Pantas Dicintai Dengan Layak?,04-18-2021,Ann Putri,https://medium.com/@annputri/kami-odgj-odmk-apa-kami-tidak-pantas-dicintai-dengan-layak-af9771d18481,Kesehatan Mental
Satu Minggu Tanpa Instagram,08-13-2017,Dzikrina Iffa,https://medium.com/@dzkrn/sebagai-generasi-milenial-media-sosial-sangatlah-mempengaruhi-hidup-saya-ddbee3ee3396,Kesehatan Mental
Pentingnya Profesionalisme di Industri Start Up,11-25-2019,Fajrin Rasyid,https://medium.com/@fajrinrasyid/pentingnya-profesionalisme-di-industri-startup-676a2a09aa48,"Profesi, Pengalaman Pribadi"
Designer *katanya,02-26-2021,Roa Nuha Kalijaga,https://medium.com/@roanuh/designer-katanya-e3a533f4fdaf,Profesi
Tentang Relationship,11-13-2018,luthfichan,https://medium.com/@lutfhichan/jadilah-orang-yang-saling-mencintai-92a6f6a2ec89,Percintaan
Menjalankan Bisnis Ala Introvert,08-28-2016,Mas Hartadi,https://medium.com/@mashartadi/menjalankan-bisnis-ala-introvert-e49f8b4cd538,"Profesi, Pengalaman Pribadi"
Skripsi Adalah Seni,11-16-2019,Ismawati Nurjannah,https://medium.com/@isma-jannah/skripsi-adalah-seni-920f4d34aadf,Pengalaman Pribadi
"Goodbye, Data Analyst",12-28-2022,Achmad Nafila Rozie,https://medium.com/@achmad.rozie/goodbye-data-analyst-f532e7631f05,"Profesi, Pengalaman Pribadi"
Pengalaman Kerja: 3 Tahun Sebagai Programmer,11-23-2019,Ridoan Nasution,https://medium.com/@ridoannasution/pengalaman-kerja-3-tahun-sebagai-programmer-f8866c3bd21c,"Profesi, Pengalaman Pribadi"
"Pengalaman Jadi Content Writer, Seru Gak Sih?",07-31-2020,Melania L Anindya,https://medium.com/@melanindya/pengalaman-jadi-content-writer-seru-gak-sih-549217a7e87d,"Profesi, Pengalaman Pribadi"
Kalau Kamu Selalu Khawatir,07-03-2019,Adjie Santosoputro,https://medium.com/@adjiesantosoputro/kalau-kamu-selalu-khawatir-da18a7958845,Kesehatan Mental
Berapa Gaji Yoel?,09-17-2020,Yoel Sumitro,https://medium.com/@yoelsumitro/berapa-gaji-yoel-c2db18600189,Profesi
7 Kelakuan Bodoh yang Nggak Gue Sesali Selama Kuliah,04-02-2017,Bani Syahroni,https://medium.com/banibuzz/7-kelakuan-bodoh-yang-nggak-gue-sesali-selama-kuliah-a25b1bfb6003,Pengalaman Pribadi
Pengalaman Saya Selama Menjadi UX Designer Intern di Blibli.com,03-07-2018,Santi Lee,https://medium.com/blibli-product-group/internship-experience-as-ui-ux-designer-at-blibli-com-4c378e732779,"Profesi, Pengalaman Pribadi"
Pacaran Mengajariku 5 Hal Mengenai Toleransi,07-04-2020,Viko Anugrah,https://medium.com/@vikoanugrah/5-hal-mengenai-toleransi-yang-aku-pelajari-pada-saat-berpacaran-20dc8ad420c,Percintaan
"Depresi: Bukan Lemah, Hanya Lelah, Tak Ada Tempat Berkeluh-kesah",08-07-2017,Eunike K,https://medium.com/@euniceapril/depresi-bukan-lemah-hanya-lelah-tak-ada-tempat-berkeluh-kesah-aa0e4acb9073,Kesehatan Mental
Awal Mula ke Psikolog,04-13-2023,Meutia Faradilla,https://medium.com/@meutia.faradilla/awal-mula-ke-psikolog-f6c344150506,Kesehatan Mental
Depresi. Masa sih?,02-06-2022,Fitriana Citra Pratiwi,https://medium.com/@citra.fitriana/depresi-masa-sih-6a84e2689d8,Kesehatan Mental
Saya dan Bipolar,04-13-2023,Meutia Faradilla,https://medium.com/@meutia.faradilla/saya-dan-bipolar-2113941877a3,Kesehatan Mental
Belajar Skill Ga Harus Lewat Kuliah,09-03-2018,Iqbal Hariadi,https://medium.com/@iqbalhariadi/belajar-skill-ga-harus-lewat-kuliah-c434978f761,Pengalaman Pribadi
Kata-kata itu sebenernya tidak bisa menyakiti,11-30-2022,Ery Prihananto,https://medium.com/@eryprihananto/kata-kata-itu-sebenernya-tidak-bisa-menyakiti-90213fa430dc,Pengalaman Pribadi
I’m Slowly Learning That I Don’t Have To React To Everything That Bothers Me,09-18-2021,Rania Naim,https://thoughtcatalog.com/rania-naim/2017/10/im-slowly-learning-that-i-dont-have-to-react-to-everything-that-bothers-me/,"Pengalaman Pribadi, Kesehatan Mental"
The Best Revenge Is Self-Love,01-22-2021,Rania Naim,https://thoughtcatalog.com/rania-naim/2017/10/the-best-revenge-is-self-love/,"Pengalaman Pribadi, Kesehatan Mental"
Read This If You’re An Old Soul Who Feels Lost,09-18-2021,Shahida Arabi,https://thoughtcatalog.com/shahida-arabi/2017/09/11-revolutionary-truths-old-souls-learn-the-hard-way/,Kesehatan Mental
"Chase Your Dreams Today, Not Tomorrow",02-09-2023,Holly Riordan,https://thoughtcatalog.com/holly-riordan/2021/09/chase-your-dreams-today-not-tomorrow/,Pengalaman Pribadi
"Keep Going, Even When You Feel Hopeless",02-09-2023,Holly Riordan,https://thoughtcatalog.com/holly-riordan/2021/08/keep-going-even-when-you-feel-hopeless/,Kesehatan Mental
It’s Okay To Feel Deeply,08-03-2021,Amira Abdel-Fadil,https://thoughtcatalog.com/amira-abdel-fadil/2021/08/its-okay-to-feel-deeply/,Pengalaman Pribadi
Why We Keep Trying After We Fail,11-04-2021,Susmitha Chinni,https://thoughtcatalog.com/susmitha-chinni/2021/07/why-we-keep-trying-after-we-fail/,Kesehatan Mental
You Can Be Alone And Still Be Enough,07-29-2021,Shelby Ensign,https://thoughtcatalog.com/shelby-ensign/2021/07/you-can-be-alone-and-still-be-enough/,Kesehatan Mental
You Are Worthy Because You Exist,07-28-2021,Amy Horton,https://thoughtcatalog.com/amy-horton/2021/07/you-are-worthy-because-you-exist/,Kesehatan Mental
"3 Reasons You’re Still Single, And What To Do About It",01-25-2023,Sabrina Bendory,https://thoughtcatalog.com/sabrina-bendory/2023/01/3-reasons-youre-still-single-and-what-to-do-about-it-right-now/,Percintaan
Still Love Your Ex? Here Are Six Steps To Help You Move On,05-14-2023,Sabrina Bendory,https://thoughtcatalog.com/sabrina-bendory/2023/05/moving-on-from-your-ex/,Percintaan
He Says He Needs Space— Here’s What To Do,05-02-2023,Sabrina Bendory,https://thoughtcatalog.com/sabrina-bendory/2023/05/he-says-he-needs-space-heres-what-to-do/,Percintaan
10 Ways to Be Eco Friendly as a College Student,05-17-2023,Hana Muslea,https://www.collegemagazine.com/going-green-as-a-college-student/,Pengalaman Pribadi
How to Find Confidence in Your Career Path,05-15-2023,Naomi Lopez,https://www.collegemagazine.com/how-to-find-confidence-in-your-career-path/,Profesi
5 Pre-Finals Rituals to Follow for Optimum Study Time,05-12-2023,Noor Zayter,https://www.collegemagazine.com/5-pre-finals-rituals-to-follow-for-optimum-study-time/,Pengalaman Pribadi
A Guide to Double-Majoring,05-10-2023,Luke Sherrill,https://www.collegemagazine.com/a-guide-to-double-majoring/,Pengalaman Pribadi
I Graduated College and Felt Nothing,05-09-2023,Noor Zayter,https://www.collegemagazine.com/i-graduated-college-and-felt-nothing/,Pengalaman Pribadi
How Graduation is Causing Me a (Good) Existential Crisis,05-10-2023,Naomi Lopez,https://www.collegemagazine.com/how-graduation-is-causing-me-a-good-existential-crisis/,Pengalaman Pribadi
So I Moved Back Home After Graduation…,05-05-2023,Heather Kierzek,https://www.collegemagazine.com/so-i-moved-back-home-after-graduation/,Pengalaman Pribadi
How I Managed to Study on Spring Break,04-25-2023,Luke Sherrill,https://www.collegemagazine.com/how-i-managed-to-study-on-spring-break/,Pengalaman Pribadi
NAMI (National Alliance on Mental Illness): Nonprofit Guide for College Students,04-24-2023,Devin Stonerock,https://www.collegemagazine.com/nami-national-alliance-on-mental-illness-nonprofit-guide-for-college-students/,Kesehatan Mental
How to Become an Employee Benefits Professional,04-20-2023,Petula Workman,https://www.collegemagazine.com/how-to-become-an-employee-benefits-professional/,Profesi
The Secrets of a Successful Internship,03-23-2023,Petula Workman,https://www.collegemagazine.com/the-secrets-of-a-successful-internship/,Profesi
10 Tips on Making Lasting Friendships in the Classroom,03-10-2023,Devin Stonerock,https://www.collegemagazine.com/10-tips-making-lasting-friendships-classroom/,Pengalaman Pribadi
“What’s Your Major?”,03-07-2023,Naomi Lopez,https://www.collegemagazine.com/picking-college-major/,Pengalaman Pribadi
The Teacher I Hated Changed my College Journey,02-21-2023,John Shay,https://www.collegemagazine.com/teacher-i-hated-changed-college-journey/,Pengalaman Pribadi
Avoid College Application Regrets: Tips For Getting It Right the First Time,04-28-2023,Sam Jaquez,https://www.collegeconfidential.com/articles/college-application-regrets/,Pengalaman Pribadi
Why Duke University Stood Out To Me,03-22-2023,Amelia Leone,https://www.collegeconfidential.com/articles/duke-campus-tour/,Pengalaman Pribadi
Supporting Student Mental Health,02-13-2023,George Philip (GP) LeBourdais,https://www.collegeconfidential.com/articles/supporting-student-mental-health/,Kesehatan Mental
Why Are Young People So Miserable?,10-11-2022,Alvin Powell ,https://www.collegeconfidential.com/articles/young-people-are-unhappy/,Kesehatan Mental
What Is A Good High School GPA For Top Colleges?,06-06-2022,Angela Combs,https://www.collegeconfidential.com/articles/what-is-a-good-high-school-gpa-for-top-colleges/,Pengalaman Pribadi
A Year of Purpose: Exploring the Gap Year Option,04-01-2022,Gap Year Association,https://www.collegeconfidential.com/articles/planning-gap-years/,Pengalaman Pribadi
8 of the Best Liberal Arts Colleges: Webinar Recap,04-12-2023,Shreya Nagunuri,https://www.collegeconfidential.com/articles/8-of-the-best-liberal-arts-colleges/,Pengalaman Pribadi
Cerita Mini : Suara yang Menumbangkan Malam,11-27-2018,Roem Adi,https://medium.com/@sangpendekarhati_8652/cerita-mini-suara-yang-menumbangkan-malam-baab9786e631,Mistis
Pengalaman Kerja Sebagai Programmer di Salah Satu Klien Glints Batam,05-03-2020,Ridoan Nasution,https://ridoannasution.medium.com/pengalaman-kerja-sebagai-programmer-di-salah-satu-klien-glints-batam-d9ccd79221d1,"Profesi, Pengalaman Pribadi"
4 Pengalaman Mistis (atau mungkin Parno Saja) yang Saya Alami Sepanjang Hidup,10-24-2021,Aji Pratama,https://ajipratama.medium.com/4-pengalaman-mistis-atau-mungkin-parno-saja-yang-saya-alami-sepanjang-hidup-1bf3e696b378,Mistis
Mencatat Pengalaman Kerja,08-04-2018,Dwinawan,https://medium.com/insightdesign/mencatat-pengalaman-kerja-418b8087d370,Pengalaman Pribadi
Pengalaman pindah haluan karir menjadi UX Designer atau Product Designer,05-12-2022,Borrys Hasian,https://medium.com/designchitchat/pengalaman-pindah-haluan-karir-menjadi-ux-designer-atau-product-designer-c40707436c8,"Profesi, Pengalaman Pribadi"
Mengatur Ritme Pekerjaan,01-29-2019,"Masim ""Vavai"" Sugianto",https://medium.com/@vavai/mengatur-ritme-pekerjaan-210b71b59878,"Profesi, Pengalaman Pribadi"
Menjadi Penulis Mobile,01-22-2016,Irwan Bajang,https://medium.com/@irwanbajang/menjadi-penulis-mobile-51ce86afbb4e,Profesi
Cinta Mengalahkan Agama? My love story in a phase.,01-08-2023,Annisa Syifarani,https://medium.com/@annisasyifaranisa/cinta-mengalahkan-agama-my-love-story-in-a-phase-fdce94a35e47,"Percintaan, Pengalaman Pribadi"
Pengalaman Pertama Menyapa Rinjani via Jalur Aik Berik,12-16-2018,Eunike K,https://euniceapril.medium.com/pengalaman-pertama-menyapa-rinjani-via-jalur-aik-berik-55d917309656,Pengalaman Pribadi
Common Relationship Issues - Can You Fix Them?,02-19-2020,Sarah Adelie,https://relationshipsreality.com/?p=3652,Percintaan
Target Baru?,02-27-2018,tyx,https://medium.com/@tyxic/target-baru-5b7e0a8ee179,Mistis
Sharing Pengalaman Meraih Mimpi Kuliah di Jepang dengan Beasiswa,08-24-2017,cendikial,https://medium.com/@cendikial/sharing-pengalaman-meraih-mimpi-kuliah-di-jepang-dengan-beasiswa-31c76a537670,Pengalaman Pribadi
My Haunted House,04-16-2023,Chanderson,https://medium.com/@ch29anderson1008/my-haunted-house-439d9c35499d,Mistis
Should’ve Left the Door Closed,04-03-2023,Lutfira N. Annisa,https://medium.com/@lutfiranura/shouldve-left-the-door-closed-19afa1644da3,Mistis
The Most Difficult People to Have Relationship With,09-05-2019,Sarah Adelie,https://relationshipsreality.com/?p=3562,Percintaan
My Baby Son And The Open Closet Doors,05-19-2023,Trascending Tales,https://www.yourghoststories.com/real-ghost-story.php?story=28102,Mistis
The Friendly One,4-8-2023,Ravenn,https://www.yourghoststories.com/real-ghost-story.php?story=28084,Mistis
