Title,Author,Category,Pengalaman Pribadi,Kesehatan Mental,Profesi,Percintaan,Mistis
A Year of Purpose: Exploring the Gap Year Option,Gap Year Association,Pengalaman Pribadi,1,0,0,0,0
8 of the Best Liberal Arts Colleges: Webinar Recap,Shreya Nagunuri,Pengalaman Pribadi,1,0,0,0,0
Cerita Mini : Suara yang Menumbangkan Malam,Roem Adi,Mistis,0,0,0,0,1
Pengalaman Kerja Sebagai Programmer di Salah Satu Klien Glints Batam,Ridoan Nasution,"Profesi, Pengalaman Pribadi",1,0,1,0,0
4 Pengalaman Mistis (atau mungkin Parno Saja) yang Saya Alami Sepanjang Hidup,Aji Pratama,Mistis,0,0,0,0,1
Mencatat Pengalaman Kerja,Dwinawan,Pengalaman Pribadi,1,0,0,0,0
Pengalaman pindah haluan karir menjadi UX Designer atau Product Designer,Borrys Hasian,"Profesi, Pengalaman Pribadi",1,0,1,0,0
Mengatur Ritme Pekerjaan,"Masim ""Vavai"" Sugianto","Profesi, Pengalaman Pribadi",1,0,1,0,0
Menjadi Penulis Mobile,Irwan Bajang,Profesi,0,0,1,0,0
Cinta Mengalahkan Agama? My love story in a phase.,Annisa Syifarani,"Percintaan, Pengalaman Pribadi",1,0,0,1,0
Pengalaman Pertama Menyapa Rinjani via Jalur Aik Berik,Eunike K,Pengalaman Pribadi,1,0,0,0,0
Common Relationship Issues - Can You Fix Them?,Sarah Adelie,Percintaan,0,0,0,1,0
Target Baru?,tyx,Mistis,0,0,0,0,1
Sharing Pengalaman Meraih Mimpi Kuliah di Jepang dengan Beasiswa,cendikial,Pengalaman Pribadi,1,0,0,0,0
My Haunted House,Chanderson,Mistis,0,0,0,0,1
Should’ve Left the Door Closed,Lutfira N. Annisa,Mistis,0,0,0,0,1
The Most Difficult People to Have Relationship With,Sarah Adelie,Percintaan,0,0,0,1,0
My Baby Son And The Open Closet Doors,Trascending Tales,Mistis,0,0,0,0,1
The Friendly One,Ravenn,Mistis,0,0,0,0,1
